Zona_Pellucida_Thickness,ZP_Thickness_Variation,ZP_Area,Blastocoel_Area,Blastocyst_Diameter,Blastocoel_Symmetry,ICM_Area,ICM_Solidity,ICM_Compactness,ICM_Entropy,ICM_Brightness,TE_Area,TE_Brightness,TE_Brightness_Std,TE_Cell_Granularity,Embryo_Expansion_Grade,Bubble_Count,Bubble_Area,ZP_Sharpness,ICM_to_Blastocyst_Area,TE_to_Blastocyst_Area,Blastocoel_to_Embryo_Area,ZP_to_Embryo_Area,Image
4.366987228,2.402493477,18764,58650,273.268182,0.035568575,16430,0.960931103,1.307290691,7.08276359,122.5024954,27748,135.4687905,48.72679806,1,0.482350813,420,11344,0.050321934,0.135124021,0.228205803,0.482350813,0.154319363,100.BMP
4.890825748,2.609352827,21038,56797,268.9166905,0.002115736,15207,0.981413359,1.154426343,6.44684278,94.58177155,10951,106.7887044,41.05573461,4,0.490949796,355,10924,0.059107898,0.131448378,0.094659775,0.490949796,0.181851186,101.BMP
4.962944031,2.721389771,19635,51553,256.201714,0.030463447,10755,0.890167191,1.605187663,7.167187898,97.28795909,19541,108.0790134,40.24361489,1,0.507986402,304,10274,0.047224554,0.105976253,0.192550623,0.507986402,0.193476869,102.BMP
4.883249283,2.622419119,19373,55365,265.5050045,0.036854957,6394,0.987490347,1.172051651,7.161825318,92.73522052,18910,94.41909043,41.98931502,1,0.553417565,289,10552,0.053511842,0.063913156,0.189020611,0.553417565,0.193648668,103.BMP
5.372532845,2.949174643,20157,32335,202.9044127,0.087500046,16605,0.925069638,1.391689617,6.735478,104.3025595,21866,116.4312631,37.87873365,1,0.355474204,230,6336,0.033737157,0.18254675,0.240383453,0.355474204,0.221595594,104.BMP
8.618562698,4.935300827,32398,40577,227.2976925,0.052659357,13434,0.979797243,1.16207212,6.530663555,91.28360875,15316,109.3539436,33.50394966,1,0.398889162,310,8068,0.033582051,0.132061932,0.150562792,0.398889162,0.318486115,105.BMP
2.744485378,1.372794628,8569,46912,244.3976545,0.013201863,6455,0.970968712,1.182157439,7.376680371,154.9931836,800,161.5352239,54.55048074,7,0.662393042,175,9308,0.086695977,0.091143995,0.011295925,0.662393042,0.120993477,106.BMP
6.293786049,3.441711426,24271,37399,218.215228,0.057773514,12087,0.958372978,1.286406156,6.43730713,105.7888641,20432,114.268794,39.96317178,1,0.397063351,236,7119,0.044214917,0.128327087,0.216925543,0.397063351,0.257684018,107.BMP
12.6188221,7.149682999,49241,26535,183.8080828,0.02430464,10912,0.862472336,1.698480413,6.822048724,117.0925587,18592,132.4265813,41.9829499,1,0.252042173,156,5203,0.033487015,0.103647416,0.176595745,0.252042173,0.467714666,108.BMP
11.1808033,6.520243645,43834,34570,209.799645,0.08107597,10149,0.892298224,1.608032138,6.828089943,133.2057346,17313,136.5451395,41.85067299,1,0.326544877,284,6800,0.038007494,0.095866473,0.163536924,0.326544877,0.414051726,109.BMP
10.42099857,5.969652176,37315,19714,158.4318288,0.03524299,13007,0.925962839,1.375586344,7.409736149,131.3648804,17782,137.6444157,54.00543523,1,0.224487007,114,3905,0.04842187,0.148113143,0.202486962,0.224487007,0.424912888,110.BMP
2.582592726,1.298978925,11745,114100,381.1517179,0.050486904,12448,0.982013253,1.175767768,6.275301456,98.62226864,17646,106.3055083,35.65719198,1,0.731696368,874,22177,0.061835022,0.079826086,0.113159633,0.731696368,0.075317913,111.BMP
11.76361275,9.129714012,43183,43090,234.230425,0.000495282,15069,0.933700973,1.352707074,6.941604415,109.4398434,18291,121.7957912,45.9852128,3,0.360172856,280,8256,0.037381397,0.125956017,0.152887485,0.360172856,0.360950208,112.BMP
9.558026314,5.458866596,35184,30239,196.2179671,0.008973948,15048,0.929979606,1.403039037,7.134752142,103.0940989,18916,113.3617044,43.74406719,1,0.304255084,170,5980,0.044635109,0.151408132,0.190326703,0.304255084,0.354010082,113.BMP
4.751683235,2.612612963,19440,57722,271.0976448,0.005344927,13335,0.957011626,1.333427417,6.806946294,102.4219723,18887,86.92809869,33.05240857,1,0.527700578,345,11045,0.058334129,0.121909969,0.172666935,0.527700578,0.177722519,114.BMP
2.889325619,1.44484055,11591,80476,320.1018988,0.00941367,8690,0.962774208,1.342422958,7.019029061,111.7453395,9972,103.4202571,38.07417142,6,0.71681408,315,15727,0.072495305,0.077403379,0.088822382,0.71681408,0.103243104,115.BMP
6.314196587,3.541616201,23687,26581,183.967335,0.013360045,18578,0.890219943,1.663199301,7.208925981,105.691463,22820,122.0934268,44.25682893,1,0.289749068,172,5228,0.048157687,0.2025115,0.24875188,0.289749068,0.258202708,116.BMP
8.144633293,4.54249382,31804,25148,178.9397331,0.027167731,16528,0.946620848,1.345527788,6.7896442,110.366348,24733,101.4941172,25.40332038,1,0.256055716,156,4772,0.039996626,0.168287294,0.251830206,0.256055716,0.323826785,117.BMP
3.612398386,1.858680487,14732,65471,288.72178,0.022708743,8815,0.972635992,1.177254937,6.508313549,120.9697107,19652,132.3661714,44.303302,1,0.602475384,317,12979,0.065851201,0.081117144,0.180841078,0.602475384,0.135566394,118.BMP
10.40611839,5.824994087,38404,24068,175.055218,0.004041668,13249,0.923919107,1.463308878,7.03855226,187.0698921,15583,202.4633254,52.34023449,1,0.263602909,151,4744,0.048435728,0.145108648,0.170671603,0.263602909,0.42061684,119.BMP
4.857816219,2.603112221,16571,37802,219.3877874,0.00258638,7498,0.926937817,1.390713285,6.85072825,164.2918111,13329,135.7069973,46.90571574,6,0.502559194,141,7447,0.045118732,0.099682261,0.177202568,0.502559194,0.220303381,120.BMP
8.629594803,4.884011269,33560,32901,204.6725538,0.031675737,19068,0.813273053,1.783214612,6.977433823,132.9520663,13882,133.9422994,54.6552968,1,0.330959351,167,6462,0.080391726,0.191809759,0.139642494,0.330959351,0.337588396,121.BMP
5.540911198,3.014491081,16197,20304,160.7851228,0.032495995,7008,0.8839556,1.52791112,6.835252902,115.2664098,12842,114.5317708,43.12943033,1,0.360306644,77,4011,0.03958614,0.124361158,0.227888984,0.360306644,0.287425468,122.BMP
4.774324417,2.544438601,18669,44058,236.8467603,0.01766433,16995,0.974595711,1.185484976,6.418152135,110.051015,17305,80.9672349,22.18648136,1,0.454079792,296,8799,0.033956521,0.17515743,0.178352417,0.454079792,0.19241036,123.BMP
4.72059679,2.514847279,18973,50576,253.7624149,0.014640764,17209,0.784223478,2.269621712,6.60585332,105.9442733,15635,92.8807803,39.37697221,1,0.493940015,341,9964,0.063651371,0.16806813,0.152695985,0.493940015,0.18529587,124.BMP
5.734396935,3.110588789,22990,47897,246.9501052,0.035940966,10580,0.952723998,1.357409719,7.101365765,164.7476371,19645,155.0657674,39.31916704,1,0.473702429,213,9172,0.055211725,0.104636443,0.194289501,0.473702429,0.227371628,125.BMP
11.60650349,6.600752831,45746,27093,185.7306625,0.003697845,14909,0.924187949,1.481038317,6.868139488,168.2148367,18002,176.5644373,55.62870994,1,0.256198582,179,5366,0.044312094,0.140983452,0.170231678,0.256198582,0.432586288,126.BMP
5.595784664,3.040672302,22572,55487,265.7973714,0.045066403,11218,0.932347074,1.400157299,6.355383275,107.2942592,13427,114.5952931,32.71341218,1,0.540261334,399,10379,0.038074328,0.109226515,0.130734928,0.540261334,0.219777224,127.BMP
2.945566654,1.495002389,11286,58065,271.9019201,0.020745822,21227,0.897737365,1.489537731,6.625821548,170.0880482,12050,137.62639,39.99147213,1,0.565781268,274,10999,0.075632812,0.206834392,0.117414351,0.565781268,0.109969989,128.BMP
9.583181381,5.418119907,36392,22022,167.4493394,0.013350714,19632,0.928841787,1.590179484,6.538324913,135.7932457,17850,141.4039216,40.67304197,1,0.22964222,165,4222,0.037428658,0.204719647,0.18613721,0.22964222,0.379490495,129.BMP
7.207679749,4.002867222,27735,31572,200.4961818,0.005958906,7473,0.926826243,1.524206131,6.668954838,143.1672688,28070,151.0069113,32.41997336,1,0.332862414,229,6088,0.023067561,0.078787559,0.295940959,0.332862414,0.292409067,130.BMP
11.71388435,6.598106861,42710,21315,164.739494,0.043297371,16636,0.942229271,1.35709908,6.799234215,156.718502,10972,142.1309697,37.25445653,1,0.232612705,154,4129,0.038974854,0.181550315,0.119738522,0.232612705,0.466098458,131.BMP
5.946259022,3.231338263,16351,13655,131.8563081,0.043771439,9697,0.945956492,1.320934567,6.611054127,120.0964216,10595,121.5374233,26.1706887,1,0.271481967,100,2613,0.022488597,0.192790966,0.210644558,0.271481967,0.325082508,132.BMP
6.947144508,3.886432409,28295,45971,241.9340718,0.005679391,14993,0.877964514,1.721248175,6.167240763,119.0240779,19388,131.574737,35.93050331,1,0.42312259,224,9034,0.039540296,0.137997368,0.178449474,0.42312259,0.260430569,133.BMP
4.720610619,2.548039436,18808,54299,262.936559,0.000247528,10920,0.979460041,1.230743578,6.92425785,198.3687729,18543,207.0281417,38.20729888,3,0.529353845,266,10511,0.038942143,0.106457651,0.18077328,0.529353845,0.183356731,134.BMP
4.89880228,2.654939651,14862,27193,186.0731118,0.020947071,8958,0.943443918,1.323521366,6.314605814,95.70417504,9879,96.1700577,33.58384905,1,0.446577547,156,5385,0.045368651,0.147112921,0.162238061,0.446577547,0.244071471,135.BMP
4.240561485,2.239707708,16425,48357,248.1331188,0.034938544,14976,0.981517892,1.154342346,6.667951667,99.66646635,16845,111.1642624,40.48213036,1,0.500574516,236,9216,0.059873175,0.155026241,0.174373467,0.500574516,0.170025776,136.BMP
11.78750038,6.677299976,48874,37794,219.3645718,0.028220841,11930,0.911243507,1.39607232,7.014164186,182.4624476,16673,192.5543094,45.51607687,1,0.327867999,253,7215,0.032905309,0.103494344,0.144640502,0.327867999,0.423988479,137.BMP
8.92820549,5.065301895,29328,20939,163.2800136,0.03377966,10182,0.928845101,1.356537101,6.458668012,112.1359261,12970,113.0296839,33.16989928,1,0.285198654,186,4186,0.028770107,0.138683447,0.176657269,0.285198654,0.39946063,138.BMP
10.27145767,5.743071079,43575,32541,203.5497188,0.018262316,18585,0.950542144,1.345572648,7.039737755,142.6656981,21572,158.9199889,40.68411364,1,0.279867209,266,6138,0.038625951,0.159839344,0.185528885,0.279867209,0.374764563,139.BMP
4.015508652,2.080491066,18259,71012,300.6913476,0.010255193,14099,0.960291513,1.288151312,6.118134905,137.8148805,27333,142.4792741,44.72113192,1,0.543308111,550,13300,0.070317583,0.107870516,0.209122973,0.543308111,0.1396984,140.BMP
9.925292015,5.615400314,41780,39479,224.2013024,0.006599098,14494,0.954054766,1.247215535,6.920712927,127.5183524,19717,142.8760461,43.09014052,1,0.341898329,286,7840,0.039181008,0.125521781,0.170754308,0.341898329,0.361825582,141.BMP
6.525374413,3.575961113,21936,30390,196.7072692,0.007892634,7799,0.973536387,1.179171249,6.499524533,87.30337223,12877,91.79288654,33.58399394,1,0.416289965,221,5777,0.035145407,0.10683269,0.176392428,0.416289965,0.300484918,142.BMP
