Image,Lesion_Size,Perimeter,Compactness,BoundingBox_Area,Orientation,Solidity,Centroid_X,Centroid_Y,Asymmetry,Mean_Intensity,Mean_RGB,Mean_HSV,Color_Std,Color_Entropy,Color_Variance
cju13cgqmnhwn0988yrainhcp,41215,1070.638731,2.188010238,56462,19.81114388,0.975900653,350,397,368.3319179,146.5367706,143.7350398,116.9468155,23.13519183,6.16609525,535.6539857
cju13fwthn9mq0835gacxgy01,44465,1138.420477,2.301910522,65682,108.0746384,0.964324534,477,132,511.9999999,131.1160013,130.5592414,111.9410623,43.08805033,7.09445292,1876.30576
cju13hp5rnbjx0835bf0jowgx,34103,977.2417629,2.203854068,49922,138.5005798,0.972160356,105,210,411.4181156,117.961499,112.6571954,112.1716467,26.99053066,6.465837732,728.8470385
cju14g8o4xui30878gkgbrvqj,7891,545.2102373,2.933375231,11526,162.467865,0.941946033,492,213,507.3283481,137.523888,135.3382757,116.868331,20.11654536,6.034943537,407.5222143
cju14hjh2ob2o0835ouz3r5aa,40404,1145.266148,2.55283678,58968,44.91612625,0.925892796,480,372,490.8630827,89.81754282,88.62771013,109.8705079,51.10053754,7.594858114,2624.007392
cju14pxbaoksp0835qzorx6g6,22841,783.1757481,2.114450543,31008,70.31382751,0.976377286,248,83,447.711396,160.6402084,152.2338193,135.4873838,29.59780918,5.811945461,918.3648108
cju15czxqp3lv0835jvhgzurz,90640,1860.618522,3.018350207,159588,138.4032593,0.87656965,233,293,222.2686672,147.2506951,143.5955612,120.5199139,43.89876832,6.841712601,1968.987338
cju15jr8jz8sb0855ukmkswkz,96904,1672.912898,2.289720311,129000,154.2209167,0.976119987,377,162,311.27681,184.5106807,174.8307053,128.654672,42.00686361,5.374967256,1952.039293
cju15l5ubz9yh0855b3ivdpse,11184,571.9381595,2.263256619,17303,106.5003281,0.950812218,255,263,298.7353359,171.9237303,163.3434072,128.7587029,22.47909032,5.374945249,539.4780058
cju15mhjczc8z0801kit5c6di,44672,1158.479351,2.371358835,63726,39.75972366,0.95855016,465,158,502.7507162,176.4531026,169.9526027,123.586042,25.70545684,5.456407597,721.2540968
cju15ptjtppz40988odsm9azx,18551,811.6193985,2.763224656,30447,67.18708038,0.895320574,456,217,464.7495011,143.2356207,141.0950173,126.3284279,42.88589401,6.364650371,1857.572106
cju15wdt3zla10801odjiw7sy,52459,1140.479351,1.952167484,74851,36.61675644,0.978472895,439,395,499.0191958,147.9043253,145.453586,133.2126295,25.84320313,5.809421619,699.5609167
cju160wshltz10993i1gmqxbe,8060,498.2569209,2.412050527,11070,179.0176239,0.960030474,465,324,509.1414386,144.285732,139.3407361,129.317287,25.21914044,5.73115634,682.5889418
cju16ach3m1da0993r1dq3sn2,84981,1620.618522,2.443803409,115596,136.3678589,0.964987899,260,319,189.6992504,166.6502748,162.4879522,125.1843314,46.64901416,5.652626084,2306.403497
cju16b6ynq8e40988m8vx0xnj,5249,356.5756811,1.90026752,7480,49.86959076,0.961621815,127,106,511.999999,124.6768908,121.9645012,119.1954023,15.08765736,5.841258152,234.4055509
cju16d65tzw9d0799ouslsw25,11330,566.2985508,2.222998391,15035,171.8304138,0.970168173,293,287,351.711915,147.566549,143.3472786,115.2053545,18.17943633,5.451433945,340.3396791
cju16fpvhzypl0799p9phnlx6,34765,1160.663116,3.039421189,55660,120.3017807,0.87729924,370,314,293.3709189,136.3474184,133.6525624,128.4152548,21.95139502,6.185673282,483.801272
cju16jgnyzp970878melv7r25,33313,1055.994069,2.631712285,54675,129.6387329,0.943122858,390,343,470.7409118,141.0088854,138.8965169,122.8827685,32.25803192,6.613813013,1041.744562
cju16whaj0e7n0855q7b6cjkm,86243,2640.948598,6.373041241,172536,58.23671341,0.718280528,318,210,282.4391544,121.1490208,117.4582749,120.2932528,34.15773654,7.198484431,1225.809261
cju171py4qiha0835u8sl59ds,117483,2007.311952,2.713645237,171790,134.6112823,0.944523937,430,179,322.2318803,164.4931437,158.1947516,124.4228016,35.30644386,6.371561914,1258.545088
cju175facms5f0993a5tjikvt,73381,1948.115995,4.079712985,132980,108.4595795,0.795788161,222,362,334.0862621,181.996048,176.7612961,115.9450403,55.53076873,6.137816327,3339.076496
cju17bz250pgd0799u1hqkj5u,29795,1021.893566,2.746338535,47700,164.9635925,0.943852644,352,137,419.4293001,126.4054372,116.9928176,132.3617497,29.44825044,6.741342558,869.1499449
cju17g6ykn1cs0993dww6qdi8,94892,1896.299761,2.996422288,159005,51.64320755,0.899843586,290,302,227.602917,171.4582789,165.5029507,107.0691909,41.74361275,6.938452086,1754.952989
cju17hw9hr9c5098800fu4u8e,7514,455.5289989,2.178189689,10370,87.30518341,0.965179195,276,215,442.2933185,162.9206814,156.7248691,134.8620797,23.16099836,5.316121378,581.5130653
cju17otoe119u0799nqcbl8n1,161374,2197.194198,2.370444276,226904,32.79286194,0.949593077,292,306,129.9290344,167.5851996,162.6644689,120.9510309,45.25247304,6.338866748,2127.696841
cju17r8il13910799dr2wme2e,3638,307.0193325,1.995488625,5320,167.866333,0.946612941,411,240,455.212753,100.1704233,99.48176654,106.4879971,32.11661524,6.808952408,1036.360447
cju17v6ih0u7808783zcbg1jy,113169,1870.968809,2.446731882,148296,179.9471893,0.966530411,201,220,269.7784729,157.0940275,153.5929863,129.8175678,38.14200973,5.486787161,1472.918199
cju17x0j4nfc10993y31pvlgs,168201,2050.136204,1.987289456,240450,33.14273071,0.898402344,255,311,165.4766856,141.5844912,138.6261873,127.2606465,52.96288573,6.474429942,2876.207265
cju17z0qongpa0993de4boim4,15905,712.1635562,2.496820674,23680,28.96630859,0.954108133,403,344,511.9999997,175.4278529,172.7578958,124.7975479,31.12764842,5.069991064,1107.516977
cju1819curo000988pd5xcqme,33031,927.099628,2.047382432,46920,71.97701263,0.976356436,366,370,438.6512063,177.9112954,166.8205322,134.8763283,45.54544102,5.291926035,2411.728299
cju183od81ff608017ekzif89,46860,931.9280552,2.18657693,40330,159.339035,0.969168736,476,283,340.5247972,109.2425523,106.6681107,100.3084792,35.8538295,7.35368945,1321.346655
cju1871y11d6r0799k6cw4yze,37937,1022.02856,2.173295716,52628,137.0245972,0.964201981,101,308,384.0978463,164.6245354,159.271327,117.9929357,41.51251245,6.542537434,1738.537227
cju18849rrsgr0988p90hkygb,36449,988.9574924,2.117037423,44678,94.84463501,0.983362533,287,211,223.0175862,198.3213531,191.57826,120.6269582,38.36919494,4.878997281,1795.441132
cju18gzrq18zw0878wbf4ftw6,25020,959.0407525,2.878802288,44840,128.3972015,0.949366143,482,202,478.3373299,199.2045164,187.3960032,125.1812683,31.08742562,4.912472659,1054.618706
cju18ibp219ub08783i6o98g7,5604,379.546244,1.992103679,8214,5.796295166,0.966087466,494,381,511.9999991,172.6982512,165.1940281,132.5079705,24.64164431,5.289418,657.0034633
cju18kevfrojc0835bn90f1in,16571,778.6904662,2.845580203,31465,62.51263809,0.953202731,337,411,378.0136381,147.2952145,143.5805323,127.8436626,21.38575025,5.852129438,468.2291714
