Image,Lesion_Size,Perimeter,Compactness,BoundingBox_Area,Orientation,Solidity,Centroid_X,Centroid_Y,Asymmetry,Mean_Intensity,Mean_RGB,Mean_HSV,Color_Std,Color_Entropy,Color_Variance
train_images_0,3432,294.2497807,2.084735528,6215,103.8640518,0.903869818,175,130,511.9999985,204.1611305,204.1611305,68.05371018,35.33929734,6.856628747,1248.865937
train_images_1,1331,182.7523068,2.118581645,2376,75.04403687,0.875130793,363,335,511.9999962,118.62284,118.62284,39.54094666,13.43545288,5.638826634,180.5113942
train_images_10,1532,195.8822497,2.115991755,2607,101.9907761,0.878004254,174,125,511.9999967,146.2467363,146.2467363,48.7489121,35.95314195,6.961721631,1292.628416
train_images_100,367,90.66904664,1.991465832,575,27.42747688,0.820224699,321,356,511.999986,105.6730245,105.6730245,35.22434151,6.481321505,4.536245861,42.00752845
train_images_1000,2871,334.3330406,3.762714437,4422,44.78179932,0.796630157,327,317,511.9999982,105.1779868,105.1779868,35.05932892,10.51131067,5.243868965,110.487652
train_images_1001,4197,305.0782073,1.822015039,7840,109.5019836,0.862507955,174,134,511.9999988,183.8241601,183.8241601,61.27472004,47.22974289,7.302997786,2230.648613
train_images_1002,1659,381.4457384,7.729365723,4060,54.16360855,0.64264264,380,337,511.9999969,105.013261,105.013261,35.00442033,10.5417368,5.156852002,111.1282147
train_images_1003,11608,363.9066344,1.804501451,10500,162.1418152,0.812578265,346,179,426.5637488,101.0926947,101.0926947,33.6975649,39.97239341,7.108224654,1597.792235
train_images_1004,161,32.14213526,1.227057112,110,76.37249756,0.943661839,133,320,511.9999682,114.6149068,114.6149068,38.20496894,12.35452597,5.141432701,152.6343119
train_images_1005,15885,524.7594466,3.156192631,18690,154.6272278,0.773334818,388,169,433.4514319,112.7808624,112.7808624,37.59362082,43.11053071,7.313317689,1858.517858
train_images_1006,1067,111.8406196,1.491207207,945,84.45083618,0.94213125,362,255,362.286782,16.43017807,16.43017807,5.476726023,6.243238011,4.377983755,38.97802087
train_images_1007,5692,372.4335458,3.474872386,9568,49.78214645,0.736835999,377,274,376.8938855,60.3601546,60.3601546,20.12005153,23.62306365,6.307765892,558.0491362
train_images_1008,721,144.6101712,2.515694889,1518,32.65146255,0.839466994,236,224,511.9999929,106.0152566,106.0152566,35.33841886,7.200211141,4.43481699,51.84304047
train_images_1009,5860,396.8183217,3.031119759,11058,37.56833649,0.708847735,385,261,351.4976103,53.79180887,53.79180887,17.93060296,21.80110217,6.190261633,475.2880558
train_images_101,2936,281.5218582,2.306409664,5610,127.3112488,0.77817302,137,263,349.6457754,51.46798365,51.46798365,17.15599455,15.88243368,5.848509041,252.2516997
train_images_1010,3540,371.0193328,4.812945659,5929,137.5330048,0.700954725,124,355,414.6621457,104.6971751,104.6971751,34.89905838,12.07099259,5.100131057,145.7088621
train_images_1011,3848,282.3502861,1.70287211,6160,101.4582901,0.947000506,174,132,511.9999987,192.5535343,192.5535343,64.18451143,44.69693212,7.121522852,1997.815741
train_images_1012,1883,118.5269114,1.221140744,1152,155.3610229,0.967247745,306,239,504.658521,98.96282528,98.96282528,32.98760843,32.50675323,6.798419551,1056.689006
train_images_1013,9324,292.9360722,1.65143061,6840,167.202774,0.909790977,368,173,477.5701411,111.5413985,111.5413985,37.18046618,53.24888446,7.42025995,2835.443696
train_images_1014,878,85.45584369,1.410510916,540,95.11270142,0.947126415,155,282,387.2072849,44.21753986,44.21753986,14.73917995,17.50696086,5.82420787,306.4936787
train_images_1015,3854,327.2203432,2.294804952,9072,58.17485046,0.798838208,191,286,484.6331072,67.71925272,67.71925272,22.57308424,20.28571368,6.226510126,411.5101794
train_images_1016,1323,188.7523063,2.2836416,3300,53.62765503,0.783775248,179,323,511.9999961,50.55253212,50.55253212,16.85084404,19.70947528,6.08906614,388.4634157
train_images_1017,931,141.9827547,2.071285235,1456,168.4081573,0.885648932,406,234,476.2534858,100.0955961,100.0955961,33.36519871,24.45207268,6.400267059,597.9038582
train_images_1018,1951,223.6223634,2.314966579,3822,68.41888428,0.821309122,399,363,487.3316223,119.1583803,119.1583803,39.71946011,14.47091961,5.416682864,209.4075143
train_images_1019,23180,710.4406865,3.423818637,25807,162.8827057,0.693382983,371,186,318.2440033,104.4578516,104.4578516,34.81928387,32.23820946,6.848804164,1039.302149
train_images_102,1718,221.5218604,2.874509001,4355,38.83929443,0.664628177,179,322,511.999997,52.32770664,52.32770664,17.44256888,25.01022493,6.221610344,625.5113511
train_images_1020,16026,453.0609616,2.200364897,13950,100.2140045,0.730300048,176,283,289.2579556,24.80263322,24.80263322,8.267544407,8.190446265,4.599692966,67.08341001
train_images_1021,584,140.2253954,3.009124374,968,104.8137894,0.816326518,357,368,511.9999912,74.20547945,74.20547945,24.73515982,6.183459829,4.230595106,38.23517546
train_images_1022,529,91.01219261,3.192046673,420,104.5937424,0.733570134,156,358,494.5784406,100.2722117,100.2722117,33.42407057,7.046537381,4.274688876,49.65368906
train_images_1023,6662,372.1492747,3.409462799,7950,154.3477631,0.661787285,369,170,461.6607618,111.4518163,111.4518163,37.15060542,43.18080375,7.191090134,1864.581812
train_images_1024,18,14.24264061,1.537382155,25,159.459549,0.839999328,194,256,369.7775723,63.72222222,63.72222222,21.24074074,2.744804295,3.016875683,7.533950617
train_images_1025,2165,224.4507915,2.540536386,4690,44.19724274,0.737038763,179,322,511.9999976,53.6591224,53.6591224,17.88637413,25.49937673,6.340529186,650.2182135
train_images_1026,1710,233.8822496,2.717203397,3298,173.6850891,0.797014921,408,229,456.9075997,115.4321637,115.4321637,38.47738791,27.66057459,6.581678387,765.1073865
train_images_1027,3741,296.1076455,1.932243654,7524,129.2262726,0.865739629,144,259,365.1472858,63.42635659,63.42635659,21.14211886,18.53106628,6.042149567,343.4004173
train_images_1028,3984,303.0782077,1.896652843,7040,109.0824509,0.906610207,175,133,511.9999987,183.0810743,183.0810743,61.02702477,46.96424987,7.275191103,2205.640766
train_images_1029,1186,166.5096664,1.978764772,2214,62.53358078,0.838661145,162,337,511.9999957,50.23693086,50.23693086,16.74564362,16.64727878,5.812457463,277.1318907
train_images_103,483,95.01219225,2.167031777,816,59.80142975,0.78647685,374,245,511.9999894,85.36438923,85.36438923,28.45479641,18.80045964,5.985636639,353.4572826
train_images_1030,891,125.1959575,5.519024317,1380,125.6059875,0.433781182,361,363,511.9999943,108.037037,108.037037,36.01234568,14.76679085,5.402608392,218.058112
train_images_1031,838,104.9116873,2.694973613,644,165.1911469,0.7602339,205,331,510.1670584,113.9057279,113.9057279,37.96857597,9.397071632,4.47148407,88.30495526
train_images_1032,15957,507.7888834,2.172933945,16968,163.6011963,0.805819857,387,188,443.7204986,107.7923169,107.7923169,35.93077228,42.69899114,7.283459918,1823.203844
train_images_1033,609,148.0243851,7.925633486,897,64.81045532,0.516431913,381,358,483.4154272,100.8981938,100.8981938,33.63273125,11.35323916,5.058407467,128.8960394
train_images_1034,20486,648.1391689,3.472988725,18753,39.30677795,0.761179866,372,264,242.0790783,55.62896612,55.62896612,18.54298871,24.93792623,6.416229337,621.9001646
train_images_1035,3410,217.6812394,1.882570242,3315,168.8997345,0.903065821,135,243,379.72082,51.79618768,51.79618768,17.26539589,21.6311749,6.156719405,467.9077274
train_images_1036,5571,467.0609623,4.721746914,11760,36.58601761,0.564226518,382,266,394.1784233,62.54065697,62.54065697,20.84688566,23.79893014,6.335250622,566.3890758
train_images_1037,133,48.28427064,1.656469567,221,153.4532166,0.864864798,407,154,511.9999615,26.7593985,26.7593985,8.919799499,6.406235656,4.465473017,41.03985528
train_images_1038,4360,234.8944422,2.025706455,3927,177.4263763,0.818851527,182,141,496.264219,27.5396789,27.5396789,9.179892966,13.44215551,5.360287065,180.6915449
train_images_1039,74,29.31370831,1.139673379,90,83.46098328,0.967741779,79,192,511.9999308,32.87837838,32.87837838,10.95945946,11.62005803,4.928453484,135.0257487
train_images_104,920,160.2670249,4.150230812,2301,35.25948715,0.570683655,203,291,511.9999944,72.14347826,72.14347826,24.04782609,34.69232876,6.075047582,1203.557675
train_images_1040,6951,262.6518016,2.146941327,3744,91.60575867,0.880812949,169,284,392.7469423,57.03941879,57.03941879,19.0131396,20.70499367,6.217368908,428.6967629
train_images_1041,4116,121.4974738,1.332607691,1330,59.0118866,0.942276847,375,152,425.6715247,39.41423712,39.41423712,13.13807904,21.40519545,5.999461152,458.1823921
train_images_1042,1157,181.6812392,2.443440896,1980,168.4927673,0.845790709,383,238,464.207429,102.951599,102.951599,34.31719965,8.444812431,4.694968993,71.31485699
train_images_1043,533,161.4385988,11.00255475,533,179.1511993,0.464285703,190,303,511.9999904,98.89868668,98.89868668,32.96622889,5.67449266,3.568888439,32.19986694
train_images_1044,28,19.65685415,1.921755632,40,162.4537811,0.8205124,126,277,511.9998171,103.5714286,103.5714286,34.52380952,3.016958869,3.012188391,9.102040816
train_images_1045,489,102.769552,1.901502026,798,104.4377594,0.919875111,187,124,511.9999895,125.9100204,125.9100204,41.97000682,32.26709977,6.692933939,1041.165728
train_images_1046,6276,363.2203431,3.373578935,8686,133.108139,0.668600278,147,273,348.3492665,58.5068515,58.5068515,19.50228383,20.33194381,6.207152469,413.387939
train_images_1047,6293,436.7178161,3.531637093,7625,97.51225281,0.80780075,140,369,511.9999992,104.9563007,104.9563007,34.98543355,10.88281033,5.053476562,118.4355606
train_images_1048,1749,195.4802285,3.577477295,1755,11.05218315,0.738167601,361,358,511.9999971,114.2315609,114.2315609,38.07718696,12.11846466,5.317640768,146.8571857
train_images_1049,1357,116.6690465,1.754140883,1147,114.7222519,0.802469125,139,213,511.9999962,31.39204127,31.39204127,10.46401376,15.96379087,5.617670662,254.842619
train_images_105,2786,222.7939365,1.939125158,4650,127.091156,0.903526277,137,282,372.6977732,61.4626705,61.4626705,20.48755683,19.51816039,6.03909436,380.958585
train_images_1050,2916,295.0782077,2.484367822,7656,43.68431091,0.74047524,174,323,511.9999982,44.22770919,44.22770919,14.74256973,18.1673066,5.828810329,330.0510292
train_images_1051,3979,272.2081506,1.52778183,5936,105.0713654,0.953198318,173,135,511.9999987,193.8477004,193.8477004,64.61590014,43.54911232,7.110065931,1896.525184
train_images_1052,447,159.1959579,5.307263023,1275,74.67987823,0.584615376,177,105,511.9999885,113.360179,113.360179,37.78672632,7.674154186,4.628956811,58.89264247
train_images_1053,14896,497.7300096,3.019010388,14508,108.7686157,0.776733673,129,425,405.1041888,124.5217508,124.5217508,41.50725027,56.49939697,7.604260622,3192.181858
train_images_1054,7362,399.1025926,3.404600806,13338,138.46315,0.613344315,389,151,503.654441,93.46903015,93.46903015,31.15634338,17.34468251,5.884322868,300.8380113
train_images_1055,3322,364.0903999,3.333523273,6785,103.6443634,0.801748161,175,129,511.9999985,206.8320289,206.8320289,68.94400963,31.1662642,6.763805983,971.3360241
