Image,ZPTV,ICM_Quality,TE_Integrity,Blastocoel_Volume
100.BMP,4.581688925,122.5024954,0.068988098,58650
101.BMP,2.281541025,94.58177155,0.006397141,56797
102.BMP,2.494238237,97.28795909,0.063966935,51554
103.BMP,2.994953511,92.73522052,0.074960214,55365
104.BMP,3.196920477,104.3025595,0.056980373,32335
105.BMP,4.16102995,91.28360875,0.086971518,40577
106.BMP,2.277375094,154.9931836,0.005039097,46912
107.BMP,2.570325137,105.7888641,0.062332419,37399
108.BMP,4.050683825,117.0925587,0.062272247,26535
109.BMP,7.501881636,133.2057346,0.065278033,34570
110.BMP,4.427234472,131.3648804,0.06867666,19714
111.BMP,0,98.62226864,0.003349666,114100
112.BMP,23.48925763,109.4398434,0.004461674,43090
113.BMP,3.915477374,103.0940989,0.068177659,30239
114.BMP,3.424481918,102.4219723,0.08587302,57722
115.BMP,1.451824642,111.7453395,0.005115685,80476
116.BMP,3.689088783,105.691463,0.067536522,26653
117.BMP,4.044131893,110.366348,0.060495067,25148
118.BMP,2.139124587,120.9697107,0.0042267,65471
119.BMP,3.051406688,187.0698921,0.073119037,24068
120.BMP,3.149902755,164.2918111,0.004642362,37802
121.BMP,4.861132208,132.9520663,0.100565471,32901
122.BMP,2.364759163,115.2664098,0.073391247,20305
123.BMP,1.328723648,110.051015,0.1127383,44058
124.BMP,1.602356134,105.9442733,0.105144028,50576
125.BMP,1.965651165,164.7476371,0.076910619,47897
126.BMP,5.553323037,168.2148367,0.08896141,27093
127.BMP,2.132806126,107.2942592,0.136287805,55487
128.BMP,2.110140657,170.0880482,0.002256474,58065
129.BMP,3.6922812,135.7932457,0.066295866,22023
130.BMP,3.348803418,143.1672688,0.056865546,31572
131.BMP,3.087017419,156.718502,0.0997725,21315
132.BMP,2.154437929,120.0964216,0.083429105,13655
133.BMP,2.608328792,119.0240779,0.070631668,45971
134.BMP,3.244342183,198.3687729,0.004396817,54299
135.BMP,2.471834974,95.70417504,0.09035596,27193
136.BMP,1.895529211,99.66646635,0.079153175,48357
137.BMP,4.03661503,182.4624476,0.076106548,37795
138.BMP,3.702568604,112.1359261,0.091086473,20939
139.BMP,3.001241132,142.6656981,0.075189324,32541
140.BMP,3.77086592,137.8148805,0.088967713,71012
141.BMP,3.897006484,127.5183524,0.069578916,39479
142.BMP,2.750167384,87.30337223,0.10130574,30390
143.BMP,2.713250929,112.573487,0.003717229,72690
144.BMP,3.579328256,104.4316975,0.062217656,78815
145.BMP,3.961739835,102.1290454,0.059520889,18226
146.BMP,3.740557556,128.4265468,0.070101254,55429
147.BMP,1.801221421,125.9263434,0.081958192,56043
148.BMP,2.422755513,122.3636955,0.08730625,66836
149.BMP,8.219111597,98.70392872,0.082506885,40433
150.BMP,3.970183655,98.2842368,0.003841634,64332
151.BMP,9.787480429,101.1716438,0.076379768,43635
152.BMP,4.159150317,175.263805,0.089038763,66890
153.BMP,0.510342059,137.011948,0.002629219,110962
154.BMP,3.14974195,100.9002082,0.065654922,26258
155.BMP,2.87728869,109.4553538,0.079365783,83344
156.BMP,3.903112006,90.88237905,0.061014048,38476
157.BMP,3.264255872,151.756034,0.065185798,42474
158.BMP,5.099604745,124.7162344,0.080331305,21488
159.BMP,3.56294996,160.1608359,0.068138485,31300
160.BMP,3.898701395,97.77609626,0.063902406,78008
161.BMP,2.952362862,118.8462523,0.043045757,35041
162.BMP,2.003680991,114.8326948,0.005708831,26453
163.BMP,4.947878795,109.4677806,0.08077744,51169
164.BMP,4.592852641,110.0526926,0.066580503,42688
165.BMP,9.43086447,124.0360503,0.071580108,50857
166.BMP,9.715152992,115.7802142,0.09780599,57111
167.BMP,3.619838485,101.6721919,0.058477136,40052
168.BMP,4.85315876,101.9237098,0.078485875,46046
169.BMP,4.601238677,110.3172317,0.002182616,73693
170.BMP,2.471666595,136.1727924,0.094210057,52813
171.BMP,5.848213583,135.6738849,0.091345449,55528
172.BMP,2.880273962,134.4425753,0.048380956,9926
173.BMP,4.358814382,100.9368569,0.117181684,52867
174.BMP,4.411205333,95.38962656,0.08851712,33843
175.BMP,7.730628672,133.9335428,0.059351467,44825
176.BMP,3.113841084,126.8793318,0.065148401,16965
177.BMP,2.912731983,167.919726,0.061695372,33140
178.BMP,3.904892743,180.1139522,0.004079416,68647
179.BMP,2.091282536,187.7821743,0.084167355,65947
180.BMP,2.702052608,179.4967642,0.098363979,86233
28.BMP,2.025096809,110.4564429,0.073234341,29135
29.BMP,1.681577506,186.1444618,0.004698039,30257
30.BMP,3.132062136,111.7328636,0.074787641,26326
31.BMP,3.225393849,121.1349925,0.086611536,28877
32.BMP,2.835676406,111.7284431,0.094941375,18932
33.BMP,3.891693167,100.2466023,0.093307112,44201
34.BMP,4.458912967,102.8274924,0.091037651,39164
35.BMP,4.341889472,92.86754745,0.098606628,56969
36.BMP,12.06278457,99.82352681,0.067311802,35764
37.BMP,3.025219353,103.6058319,0.059298742,53306
38.BMP,3.453544205,111.6018575,0.072334644,33905
39.BMP,2.215666514,106.3017378,0.050250608,60242
40.BMP,2.103304989,171.045544,0.003144697,69287
41.BMP,3.359905181,175.4410639,0.072933897,49074
42.BMP,2.870222002,148.3915515,0.076222145,38385
43.BMP,9.419506375,177.5587113,0.011591647,45660
44.BMP,4.123798715,111.0856112,0.056110184,60381
45.BMP,3.305248568,150.4922348,0.00487985,48260
46.BMP,2.779318867,140.4445914,0.068323387,15212
47.BMP,6.426253926,107.7255014,0.003734822,44590
48.BMP,3.785348771,100.8760624,0.098690122,44634
49.BMP,1.832944646,97.08019704,0.004104278,61485
50.BMP,6.472762631,107.6584907,0.086236278,55851
51.BMP,8.400023302,165.7193856,0.107232275,56056
52.BMP,20.56950852,142.7751323,0.074348019,22082
53.BMP,4.808363716,154.6702378,0.061837233,29100
54.BMP,5.471199719,100.789185,0.063931256,59365
55.BMP,2.008783562,118.3987221,0.124523145,34258
56.BMP,1.466063149,149.9075488,0.111185013,47321
57.BMP,9.722473756,143.5128418,0.086626049,50833
58.BMP,6.316692864,141.6607932,0.07122806,26146
59.BMP,2.99409968,99.65971272,0.073522737,77337
60.BMP,7.749586682,110.3978942,0.046044071,30119
61.BMP,2.958073486,103.6183901,0.065542116,34318
62.BMP,8.070487117,100.8134639,0.051614709,34456
63.BMP,2.568464053,98.84547155,0.049679356,24820
64.BMP,8.102557756,171.9844071,0.081101574,39396
65.BMP,2.79788724,174.5075514,0.117302885,34232
66.BMP,2.902760962,143.8939355,0.079119888,33039
67.BMP,2.425898374,140.1611849,0.073914188,85256
68.BMP,5.241213369,141.7852133,0.056674359,25449
69.BMP,4.763554523,116.1939996,0.065765405,20923
70.BMP,4.213228055,122.3709194,0.082933376,22461
71.BMP,2.418533844,119.7765363,0.094171504,34641
72.BMP,3.417876336,129.0664477,0.061966508,8094
73.BMP,8.114130857,183.3867599,0.067642242,54267
74.BMP,3.412181347,185.3285088,0.052178191,21118
76.BMP,5.237045281,109.2990272,0.055653108,50916
77.BMP,2.88073929,97.3150289,0.00252161,50226
78.BMP,3.290402106,108.1499724,0.008464364,21863
79.BMP,1.32726221,104.8561383,0.078381888,48090
80.BMP,3.248896109,93.72144411,0.004732883,23333
81.BMP,4.504691815,81.02801576,0.068287186,7374
82.BMP,1.835191047,94.16427241,0.078293328,32366
83.BMP,2.871477113,110.7119501,0.072816123,35292
84.BMP,5.459239102,120.9846301,0.097016842,33273
85.BMP,3.970191735,108.5185993,0.06692251,28976
86.BMP,7.53599582,101.2901619,0.092551744,47741
87.BMP,3.647608321,131.8869799,0.118763597,24797
88.BMP,2.977070897,101.9091038,0.121889477,21334
89.BMP,2.368093763,106.7529032,0.088529055,30873
90.BMP,2.815512318,94.83489097,0.10527555,64198
91.BMP,2.818916894,133.2782882,0.054909872,27835
92.BMP,2.661593877,136.5134723,0.081331023,49696
