Image,Lesion_Size,Perimeter,Compactness,BoundingBox_Area,Orientation,Solidity,Asymmetry,Mean_Intensity,Mean_RGB,Mean_HSV,Color_Std,Color_Entropy,Color_Variance
ISIC_0025306,72982,1136.430582,1.417763699,103068,88.30335236,0.962362593,86.28977007,131.7198898,136.7410138,157.8623176,17.91882504,5.479992198,342.6177636
ISIC_0025307,116709,1497.67531,1.537806705,182414,33.67935944,0.946266977,141.9363374,126.1167348,127.4037221,126.01578,24.20509272,6.166417966,604.8881074
ISIC_0025308,30614,733.3107427,1.413245239,45980,131.8520813,0.961131919,156.5568694,129.6354609,132.6831624,123.9916705,13.7798689,5.237771227,198.4554921
ISIC_0025309,22066,593.227482,1.283888225,31600,23.2947464,0.975318026,105.8990301,110.7652044,108.4228678,108.1426176,26.18467246,6.220449079,703.7939246
ISIC_0025310,48033,1138.070189,2.167615642,95040,68.75748444,0.802205032,189.4377615,98.86692482,98.78977647,89.32281279,35.1062762,6.68877827,1262.193915
ISIC_0025311,60168,1019.435634,1.384832443,79120,83.36842346,0.968285367,171.0666135,68.37057905,74.61430772,156.0330574,32.07844895,7.140845819,1053.157191
ISIC_0025312,39165,841.5706284,1.453083877,52430,97.49591827,0.936939875,217.6245116,159.5937444,164.6869654,130.6097962,28.68979091,6.130671485,825.2856686
ISIC_0025313,68393,1037.719905,1.261337422,88408,84.03176117,0.974273299,48.45033848,67.56010118,69.04798249,97.98782039,43.33843157,7.325789125,1931.944653
ISIC_0025314,146123,1484.864127,1.206015282,197524,82.05239868,0.978954983,142.7592918,154.8178589,162.3937459,151.8641989,13.0630752,5.526393825,172.5295907
ISIC_0025315,162946,1608.856988,1.269733534,200250,17.62301636,0.972982861,69.47597363,150.8299375,151.9847475,117.6690069,11.89933868,4.947997822,150.9337379
ISIC_0025316,26656,638.3157966,1.229447588,32860,0.11295677,0.974899728,305.1140455,99.40666267,97.93613695,110.0654637,31.05652252,7.075815621,980.2063438
ISIC_0025317,168236,1554.0357,1.146939398,211904,97.58177185,0.987933871,26.89098647,160.3626929,167.3005262,145.5064671,44.08842578,7.054675106,1944.680656
ISIC_0025318,20977,546.1564145,1.144168112,27924,97.42490387,0.989247311,268.3136768,91.94451065,94.11696938,117.4465526,28.47381755,6.801604246,821.6608299
ISIC_0025319,166030,1751.616436,1.47736318,213775,64.23590088,0.96012572,69.17227007,186.4007348,190.3582385,148.5790841,10.61219315,4.802433234,117.7889175
ISIC_0025320,43786,840.465071,1.294492828,59236,130.6552124,0.95416392,247.7211894,119.7206185,122.2233895,114.4010567,24.40096018,6.157016375,600.878547
ISIC_0025321,5988,291.8650054,1.156894162,7520,78.56262207,0.986115784,129.5390779,100.4301937,109.8617234,121.7882432,46.5853,7.227186214,2186.052382
ISIC_0025322,47240,945.3178828,1.518264862,71672,51.8972702,0.902431505,179.6118543,201.1467824,203.6880539,136.8410951,12.04576814,4.636589524,157.2886217
ISIC_0025323,12729,433.8893907,1.19453455,17080,20.79687691,0.981491625,86.15790707,95.23246131,93.81865556,109.9898657,31.40510813,6.321462226,1066.058958
ISIC_0025324,74449,1074.815358,1.242475319,99520,43.14808655,0.964208455,93.19969374,91.35577375,93.06641683,111.4394642,39.37536282,6.822284138,1588.353324
ISIC_0025325,140794,1484.337216,1.251022975,184860,60.27973557,0.983898766,90.04383709,93.81629189,100.2679494,165.8358429,26.76363446,6.524412721,720.7096142
ISIC_0025326,56233,990.4894545,1.398921643,76934,65.31729126,0.949123717,116.5163516,134.0582932,135.759886,110.5606494,19.45866752,5.521028368,409.3852682
ISIC_0025327,91192,1267.86918,1.411213677,136258,51.85794067,0.958851437,158.0826388,96.33535836,101.8397666,136.3309757,34.62527815,6.764225419,1221.681723
ISIC_0025328,89161,1185.526032,1.261542086,129130,132.0995331,0.987244159,169.4875562,86.00090847,96.35657967,176.5755955,25.58671152,6.640882366,655.1971367
ISIC_0025329,24107,602.8010769,1.212792168,29928,122.3287506,0.978776247,287.9110631,171.2911188,173.3580288,125.6448611,14.86709217,4.199990945,256.4280992
ISIC_0025330,43021,835.4945104,1.302166945,61857,158.490387,0.968356298,326.1752167,166.9115781,165.8697148,104.6386416,11.38308965,4.685927404,149.8215274
ISIC_0025331,45908,838.9503516,1.229683497,61740,139.6841431,0.968117667,121.1522175,154.5133964,154.5984868,98.89222648,16.03277812,5.72806118,262.4852665
ISIC_0025332,17152,512.8010769,1.235853264,23000,92.12708282,0.97621793,257.7014924,121.9434468,124.6119209,124.8605993,28.70333493,6.751040739,828.7861855
