Image,Lesion_Size,Perimeter,Compactness,BoundingBox_Area,Orientation,Solidity,Centroid_X,Centroid_Y,Asymmetry,Mean_Intensity,Mean_RGB,Mean_HSV,Color_Std,Color_Entropy,Color_Variance
train_images_0,3432,294.2497806549072,2.084735527556596,6215,103.86405181884766,0.9038698183949957,175,130,511.99999850815846,204.16113053613054,204.16113053613057,68.05371017871018,35.33929734328664,6.856628746838962,1248.865936717226
train_images_1,1331,182.7523068189621,2.1185816448147756,2376,75.04403686523438,0.8751307926394782,363,335,511.9999961532683,118.6228399699474,118.6228399699474,39.54094665664913,13.435452883640176,5.6388266344048015,180.51139418851508
train_images_10,1532,195.88224971294403,2.1159917551567022,2607,101.99077606201172,0.8780042538606373,174,125,511.9999966579635,146.2467362924282,146.2467362924282,48.74891209747607,35.95314195228511,6.961721630608659,1292.6284162411632
train_images_100,367,90.66904664039612,1.9914658321898935,575,27.42747688293457,0.8202246986211063,321,356,511.99998604904675,105.67302452316076,105.67302452316078,35.224341507720254,6.4813215052518025,4.536245861119345,42.00752845443949
train_images_1000,2871,334.3330405950546,3.762714436643694,4422,44.78179931640625,0.7966301573828807,327,317,511.9999982166492,105.17798676419366,105.17798676419368,35.059328921397885,10.511310667811177,5.243868965110055,110.48765195524105
train_images_1001,4197,305.0782072544098,1.8220150387529177,7840,109.50198364257812,0.8625079548854064,174,134,511.99999878008106,183.8241601143674,183.8241601143674,61.27472003812247,47.229742888717716,7.302997785935683,2230.6486133343824
train_images_1002,1659,381.44573843479156,7.729365723405574,4060,54.16360855102539,0.6426426398857029,380,337,511.9999969138035,105.01326100060277,105.01326100060277,35.004420333534256,10.541736799152597,5.156852002348623,111.12821474260805
train_images_1003,11608,363.9066344499588,1.8045014506640844,10500,162.14181518554688,0.812578265183556,346,179,426.5637487710512,101.09269469331495,101.09269469331495,33.69756489777165,39.97239340732153,7.1082246535075075,1597.7922347096821
train_images_1004,161,32.14213526248932,1.227057111831716,110,76.37249755859375,0.9436618389208677,133,320,511.99996819875975,114.61490683229813,114.61490683229813,38.20496894409938,12.354525970179573,5.141432700661779,152.63431194784152
train_images_1005,15885,524.7594466209412,3.156192630851686,18690,154.62722778320312,0.7733348175837216,388,169,433.4514318958442,112.78086244885112,112.78086244885112,37.59362081628371,43.11053071459984,7.313317689046852,1858.517858494457
train_images_1006,1067,111.8406195640564,1.4912072070271825,945,84.45083618164062,0.942131249934633,362,255,362.28678198419135,16.430178069353328,16.430178069353328,5.476726023117776,6.243238011481712,4.377983755244181,38.97802086801014
train_images_1007,5692,372.4335458278656,3.474872386239462,9568,49.78214645385742,0.7368359992186593,377,274,376.8938854938618,60.36015460295151,60.3601546029515,20.12005153431717,23.623063649053723,6.307765891735402,558.0491361672434
train_images_1008,721,144.6101711988449,2.5156948891380146,1518,32.65146255493164,0.8394669944230078,236,224,511.9999928987518,106.01525658807212,106.01525658807212,35.33841886269071,7.200211140525195,4.434816989788355,51.84304046814314
train_images_1009,5860,396.8183217048645,3.031119758730976,11058,37.568336486816406,0.7088477354100691,385,261,351.49761032167646,53.791808873720136,53.791808873720136,17.93060295790671,21.801102168751573,6.190261632679122,475.28805577234453
train_images_101,2936,281.52185821533203,2.306409663597183,5610,127.31124877929688,0.778173019982433,137,263,349.64577537586587,51.467983651226156,51.467983651226156,17.155994550408717,15.882433684704983,5.848509040891122,252.25169974905148
train_images_1010,3540,371.0193327665329,4.812945658548282,5929,137.5330047607422,0.700954725281938,124,355,414.66214572129337,104.69717514124294,104.69717514124294,34.89905838041431,12.070992588709109,5.100131057245153,145.70886207667021
train_images_1011,3848,282.3502861261368,1.7028721097192128,6160,101.45829010009766,0.9470005059811883,174,132,511.99999866943864,192.5535343035343,192.5535343035343,64.18451143451144,44.69693212231632,7.12152285197511,1997.8157411469522
train_images_1012,1883,118.5269113779068,1.2211407442011926,1152,155.36102294921875,0.9672477446672187,306,239,504.6585209524242,98.96282527881041,98.9628252788104,32.987608426270135,32.50675323251062,6.798419550794168,1056.6890057193398
train_images_1013,9324,292.93607223033905,1.651430610260939,6840,167.20277404785156,0.9097909770961695,368,173,477.57014105794707,111.54139854139854,111.54139854139855,37.180466180466176,53.24888445644828,7.420259949673346,2835.4436958561796
train_images_1014,878,85.4558436870575,1.4105109161210925,540,95.11270141601562,0.9471264150085882,155,282,387.2072848837439,44.21753986332574,44.21753986332575,14.739179954441914,17.506960863775543,5.824207869602384,306.49367868576854
train_images_1015,3854,327.22034323215485,2.2948049518861406,9072,58.17485046386719,0.7988382082641174,191,286,484.63310720126333,67.71925272444214,67.71925272444214,22.573084241480714,20.28571367762157,6.226510125768842,411.51017941044284
train_images_1016,1323,188.75230634212494,2.283641599589164,3300,53.627655029296875,0.7837752475771764,179,323,511.9999961300076,50.552532123960695,50.552532123960695,16.850844041320233,19.709475278022616,6.089066140008767,388.46341573498466
train_images_1017,931,141.98275470733643,2.0712852351494777,1456,168.4081573486328,0.8856489321252267,406,234,476.25348575452756,100.09559613319011,100.09559613319011,33.36519871106337,24.45207267609389,6.400267059264768,597.9038581569775
